config,hop,module,helloOverhead,DDOverhead,LSROverhead,LSUOverhead,LSACKOverhead,total
fail20_test1,1,0.0.1.1,15900,102408,1164,1524360,473852,2117684
fail20_test1,1,0.0.1.2,15688,114452,1140,1507864,479552,2118696
fail20_test1,1,0.0.1.3,15692,106992,672,1438288,471288,2032932
fail20_test1,1,0.0.1.4,16760,81444,516,1572684,561340,2232744
fail20_test1,1,0.0.1.5,16132,107108,876,1482004,495824,2101944
fail20_test1,1,0.0.1.6,15460,103488,660,1418788,459116,1997512
fail20_test1,1,0.0.2.1,16924,67840,360,2027544,629912,2742580
fail20_test1,1,0.0.2.2,15052,133876,1764,1821480,484812,2456984
fail20_test1,1,0.0.2.3,15200,131368,780,1684264,473040,2304652
fail20_test1,1,0.0.2.4,15396,115124,672,1830196,504592,2465980
fail20_test1,1,0.0.2.5,16616,79704,264,1909948,581020,2587552
fail20_test1,1,0.0.2.6,16228,91932,480,1938084,589672,2636396
fail20_test1,1,0.0.3.1,15984,99920,960,1909296,541204,2567364
fail20_test1,1,0.0.3.2,14280,153280,1500,1791656,407292,2368008
fail20_test1,1,0.0.3.3,16176,103284,960,1809964,548336,2478720
fail20_test1,1,0.0.3.4,14512,135932,1344,1836392,425472,2413652
fail20_test1,1,0.0.3.5,15688,107624,552,1908144,507440,2539448
fail20_test1,1,0.0.3.6,16080,105580,660,2008936,566500,2697756
fail20_test1,1,0.0.4.1,15532,95560,864,1769272,475720,2356948
fail20_test1,1,0.0.4.2,15104,111092,756,1762776,470076,2359804
fail20_test1,1,0.0.4.3,16288,90512,660,1830564,555552,2493576
fail20_test1,1,0.0.4.4,15052,120436,1188,1757936,457848,2352460
fail20_test1,1,0.0.4.5,15396,130456,1452,1800796,484740,2432840
fail20_test1,1,0.0.4.6,16224,99524,624,1839536,539424,2495332
fail20_test1,1,0.0.5.1,14828,107936,1920,1797200,455724,2377608
fail20_test1,1,0.0.5.2,16036,87736,900,1809252,549372,2463296
fail20_test1,1,0.0.5.3,15940,108232,924,1813072,532152,2470320
fail20_test1,1,0.0.5.4,16716,83252,876,2018596,611184,2730624
fail20_test1,1,0.0.5.5,16268,99316,684,1980000,576800,2673068
fail20_test1,1,0.0.5.6,16224,95020,888,1827976,568452,2508560
fail20_test1,1,0.0.6.1,16568,71348,888,1529456,542360,2160620
fail20_test1,1,0.0.6.2,15524,115660,1356,1425684,475176,2033400
fail20_test1,1,0.0.6.3,15016,132944,1236,1412796,439824,2001816
fail20_test1,1,0.0.6.4,15908,105364,864,1474336,495512,2091984
fail20_test1,1,0.0.6.5,15456,121752,780,1423596,452836,2014420
fail20_test1,1,0.0.6.6,16816,74364,1584,1462696,540272,2095732
fail20_test1,1,0.0.7.1,16188,88216,1596,1960600,561132,2627732
fail20_test1,1,0.0.7.2,16272,87136,1020,1818964,557492,2480884
fail20_test1,1,0.0.7.3,16420,91736,1212,1891064,554656,2555088
fail20_test1,1,0.0.7.4,16328,92084,528,1748516,544744,2402200
fail20_test1,1,0.0.7.5,15056,126572,624,1670608,482900,2295760
fail20_test1,1,0.0.7.6,15312,124344,1020,1712716,512980,2366372
fail20_test1,1,0.0.8.1,14764,132740,1224,1717160,434884,2300772
fail20_test1,1,0.0.8.2,15196,119612,648,1723348,457920,2316724
fail20_test1,1,0.0.8.3,15408,119052,1224,1732392,489556,2357632
fail20_test1,1,0.0.8.4,14804,136640,1128,1644936,417860,2215368
fail20_test1,1,0.0.8.5,15348,122820,756,1690240,480500,2309664
fail20_test1,1,0.0.8.6,15692,116524,1416,1740860,526760,2401252
fail20_test1,1,0.0.9.1,15200,122064,1668,1823336,487384,2449652
fail20_test1,1,0.0.9.2,14856,121732,1008,1657976,446056,2241628
fail20_test1,1,0.0.9.3,14612,136692,1092,1607316,410380,2170092
fail20_test1,1,0.0.9.4,13484,168404,1212,1544992,334732,2062824
fail20_test1,1,0.0.9.5,14520,140968,996,1564704,420656,2141844
fail20_test1,1,0.0.9.6,15680,114540,1020,1737728,505136,2374104
fail20_test1,1,0.0.10.1,15600,101188,1644,1894200,498116,2510748
fail20_test1,1,0.0.10.2,15644,118068,408,1863248,511436,2508804
fail20_test1,1,0.0.10.3,15196,126148,888,1780440,486536,2409208
fail20_test1,1,0.0.10.4,15448,94192,1272,1834484,505872,2451268
fail20_test1,1,0.0.10.5,16320,95976,2724,1817648,560604,2493272
fail20_test1,1,0.0.10.6,16464,89216,960,1744976,545004,2396620
fail20_test1,1,0.0.11.1,15400,103628,876,1570476,473744,2164124
fail20_test1,1,0.0.11.2,16336,98584,660,1687472,560504,2363556
fail20_test1,1,0.0.11.3,15636,120868,828,1739488,533888,2410708
fail20_test1,1,0.0.11.4,16232,94248,636,1848760,560184,2520060
fail20_test1,1,0.0.11.5,15496,137552,1008,1662436,484972,2301464
fail20_test1,1,0.0.11.6,14968,140464,1140,1541104,450808,2148484
fail20_test2,1,0.0.1.1,16392,88840,888,1538044,511676,2155840
fail20_test2,1,0.0.1.2,15700,112968,876,1475692,460988,2066224
fail20_test2,1,0.0.1.3,15888,107180,1164,1416944,464440,2005616
fail20_test2,1,0.0.1.4,15704,91672,588,1411564,452444,1971972
fail20_test2,1,0.0.1.5,15500,91004,396,1420224,457892,1985016
fail20_test2,1,0.0.1.6,16372,94116,648,1442460,511016,2064612
fail20_test2,1,0.0.2.1,15880,100616,420,1843196,507720,2467832
fail20_test2,1,0.0.2.2,16380,86416,504,1868588,553564,2525452
fail20_test2,1,0.0.2.3,16520,74564,720,1805144,566156,2463104
fail20_test2,1,0.0.2.4,15256,128380,1044,1664584,458176,2267440
fail20_test2,1,0.0.2.5,15156,118796,816,1709188,453964,2297920
fail20_test2,1,0.0.2.6,15928,119940,1068,1725956,505680,2368572
fail20_test2,1,0.0.3.1,14860,116704,1116,1764980,441400,2339060
fail20_test2,1,0.0.3.2,15976,93572,816,1868980,519784,2499128
fail20_test2,1,0.0.3.3,16220,89400,888,1812644,538672,2457824
fail20_test2,1,0.0.3.4,14512,144920,1344,1713400,395904,2270080
fail20_test2,1,0.0.3.5,14280,137204,1224,1615984,394636,2163328
fail20_test2,1,0.0.3.6,14424,138392,1212,1608224,418688,2180940
fail20_test2,1,0.0.4.1,15016,124488,972,1839216,461124,2440816
fail20_test2,1,0.0.4.2,15244,104032,648,1656092,450668,2226684
fail20_test2,1,0.0.4.3,15440,111200,1248,1586348,457040,2171276
fail20_test2,1,0.0.4.4,14368,144908,1884,1591832,402104,2155096
fail20_test2,1,0.0.4.5,16568,71864,948,1851924,576396,2517700
fail20_test2,1,0.0.4.6,15980,98324,780,1902040,550268,2567392
fail20_test2,1,0.0.5.1,15112,120972,696,1753804,459904,2350488
fail20_test2,1,0.0.5.2,15884,89588,468,1675012,501272,2282224
fail20_test2,1,0.0.5.3,15584,106504,1740,1578368,462240,2164436
fail20_test2,1,0.0.5.4,14756,139708,1548,1602496,422624,2181132
fail20_test2,1,0.0.5.5,16084,97432,456,1843396,551608,2508976
fail20_test2,1,0.0.5.6,16036,100076,612,1818772,548600,2484096
fail20_test2,1,0.0.6.1,15176,119200,1092,1395120,425544,1956132
fail20_test2,1,0.0.6.2,16320,83492,444,1355800,502828,1958884
fail20_test2,1,0.0.6.3,15072,119644,1104,1326148,414080,1876048
fail20_test2,1,0.0.6.4,15312,119480,1140,1341420,435444,1912796
fail20_test2,1,0.0.6.5,15744,113228,972,1356004,452892,1938840
fail20_test2,1,0.0.6.6,16184,93420,708,1377024,498064,1985400
fail20_test2,1,0.0.7.1,15304,113196,432,1707776,454868,2291576
fail20_test2,1,0.0.7.2,16376,80644,432,1721672,557480,2376604
fail20_test2,1,0.0.7.3,15892,104968,1080,1732216,496776,2350932
fail20_test2,1,0.0.7.4,15852,109936,804,1651824,496292,2274708
fail20_test2,1,0.0.7.5,15208,127036,924,1606188,456320,2205676
fail20_test2,1,0.0.7.6,15644,110796,1260,1685804,491168,2304672
fail20_test2,1,0.0.8.1,15648,98492,528,1832160,509696,2456524
fail20_test2,1,0.0.8.2,16376,70888,504,1858140,574268,2520176
fail20_test2,1,0.0.8.3,15404,117988,972,1874076,488960,2497400
fail20_test2,1,0.0.8.4,15200,125692,528,1760468,489936,2391824
fail20_test2,1,0.0.8.5,15976,99128,636,1848580,538868,2503188
fail20_test2,1,0.0.8.6,15892,105976,636,1861348,529912,2513764
fail20_test2,1,0.0.9.1,16084,84620,480,1969184,543880,2614248
fail20_test2,1,0.0.9.2,15984,104824,1128,1936744,538760,2597440
fail20_test2,1,0.0.9.3,15360,113108,1032,1866020,488336,2483856
fail20_test2,1,0.0.9.4,15928,107480,708,1864544,517200,2505860
fail20_test2,1,0.0.9.5,15196,115236,372,1719184,446436,2296424
fail20_test2,1,0.0.9.6,15496,110384,552,1731180,488068,2345680
fail20_test2,1,0.0.10.1,16624,88772,492,1863828,546568,2516284
fail20_test2,1,0.0.10.2,16420,95884,1188,1828392,539744,2481628
fail20_test2,1,0.0.10.3,14856,135232,756,1702956,433424,2287224
