config,hop,module,simtime,isNoEntry,isStub,isLoop
fail20_test1,1,Network.ospfRouter_7_5.ipv4,30.06785248,1,0,0
fail20_test1,1,Network.ospfRouter_9_3.ipv4,30.1,1,0,0
fail20_test1,1,Network.ospfRouter_9_3.ipv4,30.2,1,0,0
fail20_test1,1,Network.ospfRouter_9_3.ipv4,30.3,1,0,0
fail20_test1,1,Network.ospfRouter_9_3.ipv4,30.4,1,0,0
fail20_test1,1,Network.ospfRouter_9_3.ipv4,30.5,1,0,0
fail20_test1,1,Network.ospfRouter_9_3.ipv4,30.6,1,0,0
fail20_test1,1,Network.ospfRouter_9_3.ipv4,30.7,1,0,0
fail20_test1,1,Network.ospfRouter_9_3.ipv4,30.8,1,0,0
fail20_test1,1,Network.ospfRouter_9_3.ipv4,30.9,1,0,0
fail20_test1,1,Network.ospfRouter_9_3.ipv4,31,1,0,0
fail20_test1,1,Network.ospfRouter_9_3.ipv4,31.1,1,0,0
fail20_test1,1,Network.ospfRouter_9_3.ipv4,31.2,1,0,0
fail20_test1,1,Network.ospfRouter_9_3.ipv4,31.3,1,0,0
fail20_test1,1,Network.ospfRouter_9_3.ipv4,31.4,1,0,0
fail20_test1,1,Network.ospfRouter_9_3.ipv4,31.5,1,0,0
fail20_test1,1,Network.ospfRouter_9_3.ipv4,31.6,1,0,0
fail20_test1,1,Network.ospfRouter_9_3.ipv4,31.7,1,0,0
fail20_test1,1,Network.ospfRouter_9_3.ipv4,31.8,1,0,0
fail20_test1,1,Network.ospfRouter_9_3.ipv4,31.9,1,0,0
fail20_test1,1,Network.ospfRouter_9_3.ipv4,32,1,0,0
fail20_test1,1,Network.ospfRouter_9_3.ipv4,32.1,1,0,0
fail20_test1,1,Network.ospfRouter_9_3.ipv4,32.2,1,0,0
fail20_test1,1,Network.ospfRouter_9_3.ipv4,32.3,1,0,0
fail20_test1,1,Network.ospfRouter_9_3.ipv4,32.4,1,0,0
fail20_test1,1,Network.ospfRouter_9_3.ipv4,32.5,1,0,0
