config,hop,module,simtime,isNoEntry,isStub,isLoop
fail10_test1,1,Network.ospfRouter_4_5.ipv4,51.58891904,1,0,0
fail10_test1,1,Network.ospfRouter_11_3.ipv4,51.62687576,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,51.7,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,51.8,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,51.9,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,52,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,52.1,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,52.2,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,52.3,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,52.4,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,52.5,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,52.6,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,52.7,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,52.8,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,52.9,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,53,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,53.1,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,53.2,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,53.3,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,53.4,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,53.5,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,53.6,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,53.7,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,53.8,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,53.9,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,54,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,54.1,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,54.2,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,54.3,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,54.4,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,54.5,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,54.6,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,54.7,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,54.8,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,54.9,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,55,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,55.1,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,55.2,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,55.3,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,55.4,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,55.5,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,55.6,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,55.7,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,55.8,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,55.9,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,56,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,56.1,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,56.2,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,56.3,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,56.4,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,56.5,1,0,0
fail10_test1,1,Network.ospfRouter_9_3.ipv4,56.6,1,0,0
fail10_test2,1,Network.ospfRouter_8_3.ipv4,109.91343788,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,110,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,110.1,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,110.2,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,110.3,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,110.4,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,110.5,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,110.6,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,110.7,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,110.8,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,110.9,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,111,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,111.1,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,111.2,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,111.3,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,111.4,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,111.5,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,111.6,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,111.7,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,111.8,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,111.9,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,112,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,112.1,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,112.2,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,112.3,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,112.4,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,112.5,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,112.6,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,112.7,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,112.8,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,112.9,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,113,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,113.1,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,113.2,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,113.3,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,113.4,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,113.5,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,113.6,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,113.7,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,113.8,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,113.9,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,114,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,114.1,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,114.2,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,114.3,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,114.4,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,114.5,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,114.6,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,114.7,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,114.8,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,114.9,1,0,0
fail10_test2,1,Network.ospfRouter_6_3.ipv4,115.06718716,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,115.1,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,115.2,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,115.3,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,115.4,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,115.5,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,115.6,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,115.7,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,115.8,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,115.9,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,116,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,116.1,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,116.2,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,116.3,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,116.4,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,116.5,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,116.6,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,116.7,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,116.8,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,116.9,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,117,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,117.1,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,117.2,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,117.3,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,117.4,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,117.5,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,117.6,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,117.7,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,117.8,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,117.9,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,118,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,118.1,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,118.2,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,118.3,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,118.4,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,118.5,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,118.6,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,118.7,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,118.8,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,118.9,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,119,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,119.1,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,119.2,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,119.3,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,119.4,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,119.5,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,119.6,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,119.7,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,119.8,1,0,0
fail10_test2,1,Network.ospfRouter_9_3.ipv4,119.9,1,0,0
fail10_test3,1,Network.ospfRouter_6_3.ipv4,46.44031364,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,46.5,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,46.6,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,46.7,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,46.8,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,46.9,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,47,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,47.1,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,47.2,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,47.3,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,47.4,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,47.5,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,47.6,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,47.7,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,47.8,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,47.9,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,48,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,48.1,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,48.2,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,48.3,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,48.4,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,48.5,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,48.6,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,48.7,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,48.8,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,48.9,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,49,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,49.1,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,49.2,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,49.3,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,49.4,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,49.5,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,49.6,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,49.7,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,49.8,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,49.9,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,50,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,50.1,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,50.2,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,50.3,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,50.4,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,50.5,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,50.6,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,50.7,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,50.8,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,50.9,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,51,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,51.1,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,51.2,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,51.3,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,51.4,1,0,0
fail10_test3,1,Network.ospfRouter_8_3.ipv4,63.61343788,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,63.7,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,63.8,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,63.9,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,64,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,64.1,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,64.2,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,64.3,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,64.4,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,64.5,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,64.6,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,64.7,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,64.8,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,64.9,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,65,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,65.1,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,65.2,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,65.3,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,65.4,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,65.5,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,65.6,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,65.7,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,65.8,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,65.9,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,66,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,66.1,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,66.2,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,66.3,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,66.4,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,66.5,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,66.6,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,66.7,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,66.8,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,66.9,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,67,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,67.1,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,67.2,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,67.3,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,67.4,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,67.5,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,67.6,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,67.7,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,67.8,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,67.9,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,68,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,68.1,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,68.2,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,68.3,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,68.4,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,68.5,1,0,0
fail10_test3,1,Network.ospfRouter_9_3.ipv4,68.6,1,0,0
fail10_test4,1,Network.ospfRouter_6_5.ipv4,93.3879774,1,0,0
fail10_test4,1,Network.ospfRouter_11_3.ipv4,93.45374928,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,93.5,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,93.6,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,93.7,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,93.8,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,93.9,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,94,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,94.1,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,94.2,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,94.3,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,94.4,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,94.5,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,94.6,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,94.7,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,94.8,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,94.9,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,95,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,95.1,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,95.2,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,95.3,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,95.4,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,95.5,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,95.6,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,95.7,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,95.8,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,95.9,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,96,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,96.1,1,0,0
fail10_test4,1,Network.ospfRouter_9_3.ipv4,96.2,1,0,0
