config,hop,module,helloOverhead,DDOverhead,LSROverhead,LSUOverhead,LSACKOverhead,total
fail10_test1,4,0.0.1.1,17980,43008,288,275908,80100,417284
fail10_test1,4,0.0.1.2,17020,54596,828,259592,56428,388464
fail10_test1,4,0.0.1.3,17300,62356,648,252500,61852,394656
fail10_test1,4,0.0.1.4,16768,86660,36,252712,71076,427252
fail10_test1,4,0.0.1.5,17256,73616,108,263728,76536,431244
fail10_test1,4,0.0.1.6,18180,39136,0,281400,83056,421772
fail10_test1,4,0.0.2.1,17936,36444,396,306672,82048,443496
fail10_test1,4,0.0.2.2,17252,56332,72,264976,74088,412720
fail10_test1,4,0.0.2.3,17348,55572,576,265160,73920,412576
fail10_test1,4,0.0.2.4,17940,43916,72,285524,88056,435508
fail10_test1,4,0.0.2.5,17976,52344,36,299352,88164,457872
fail10_test1,4,0.0.2.6,17444,57864,0,282272,83248,440828
fail10_test1,4,0.0.3.1,17688,31196,972,337140,71068,458064
fail10_test1,4,0.0.3.2,17248,71488,72,281276,73552,443636
fail10_test1,4,0.0.3.3,17248,60824,1224,300952,54104,434352
fail10_test1,4,0.0.3.4,17736,48092,216,309416,89996,465456
fail10_test1,4,0.0.3.5,16132,83176,0,290944,77120,467372
fail10_test1,4,0.0.3.6,16804,67620,0,260188,63428,408040
fail10_test1,4,0.0.4.1,18076,39040,0,326956,95036,479108
fail10_test1,4,0.0.4.2,18376,32656,36,317324,97672,466064
fail10_test1,4,0.0.4.3,17640,47448,0,298172,64732,427992
fail10_test1,4,0.0.4.4,17252,72148,72,312040,92000,493512
fail10_test1,4,0.0.4.5,16512,88756,36,295704,86512,487520
fail10_test1,4,0.0.4.6,17932,53012,36,317420,89260,477660
fail10_test1,4,0.0.5.1,17932,52212,72,346436,102728,519380
fail10_test1,4,0.0.5.2,18132,42912,36,331004,95376,487460
fail10_test1,4,0.0.5.3,17692,57632,0,303044,91516,469884
fail10_test1,4,0.0.5.4,17792,54952,36,324260,101884,498924
fail10_test1,4,0.0.5.5,18228,32508,0,354204,109072,514012
fail10_test1,4,0.0.5.6,17212,66940,36,330520,99764,514472
fail10_test1,4,0.0.6.1,17156,64944,144,323940,77636,483820
fail10_test1,4,0.0.6.2,17060,69296,72,279664,86036,452128
fail10_test1,4,0.0.6.3,16240,100640,396,274832,64944,457052
fail10_test1,4,0.0.6.4,17020,78988,36,275804,80552,452400
fail10_test1,4,0.0.6.5,17448,55380,0,288332,96608,457768
fail10_test1,4,0.0.6.6,17648,46956,0,310540,92980,468124
fail10_test1,4,0.0.7.1,17204,72864,0,311424,96256,497748
fail10_test1,4,0.0.7.2,18612,26232,72,315052,104980,464948
fail10_test1,4,0.0.7.3,16868,75232,1956,303888,43864,441808
fail10_test1,4,0.0.7.4,16516,80632,36,246480,59468,403132
fail10_test1,4,0.0.7.5,16820,69840,360,301392,84036,472448
fail10_test1,4,0.0.7.6,17456,61168,0,328928,88972,496524
fail10_test1,4,0.0.8.1,17592,61164,72,327724,101964,508516
fail10_test1,4,0.0.8.2,17836,57188,108,295476,95664,466272
fail10_test1,4,0.0.8.3,16416,84528,1260,239808,33680,375692
fail10_test1,4,0.0.8.4,16616,84008,0,231108,54156,385888
fail10_test1,4,0.0.8.5,17932,47184,0,310920,85420,461456
fail10_test1,4,0.0.8.6,17248,73368,0,314788,97828,503232
fail10_test1,4,0.0.9.1,16808,77392,36,316420,84308,494964
fail10_test1,4,0.0.9.2,16952,72952,108,299024,86412,475448
fail10_test1,4,0.0.9.3,16572,79592,576,286188,60060,442988
fail10_test1,4,0.0.9.4,18028,37452,0,306384,85436,447300
fail10_test1,4,0.0.9.5,18080,40032,36,361752,103440,523340
fail10_test1,4,0.0.9.6,16720,89888,72,320760,88432,515872
fail10_test1,4,0.0.10.1,17544,51440,288,308672,85832,463776
fail10_test1,4,0.0.10.2,17792,46860,0,287756,91032,443440
fail10_test1,4,0.0.10.3,17152,71748,0,283472,83516,455888
fail10_test1,4,0.0.10.4,18368,24808,0,333952,101480,478608
fail10_test1,4,0.0.10.5,18324,32404,36,350120,113160,514044
fail10_test1,4,0.0.10.6,18128,32680,0,335072,103160,489040
fail10_test1,4,0.0.11.1,17248,71952,0,288320,84908,462428
fail10_test1,4,0.0.11.2,17648,36800,36,263232,67416,385132
fail10_test1,4,0.0.11.3,17544,60556,0,261960,79340,419400
fail10_test1,4,0.0.11.4,17880,54892,0,305664,86784,465220
fail10_test1,4,0.0.11.5,18080,41268,36,329596,98108,487088
fail10_test1,4,0.0.11.6,17692,60748,0,309924,95100,483464
fail10_test2,4,0.0.1.1,16924,69824,324,254180,72696,413948
fail10_test2,4,0.0.1.2,17732,50640,540,284492,71544,424948
fail10_test2,4,0.0.1.3,17460,58692,72,252500,77484,406208
fail10_test2,4,0.0.1.4,17932,50428,72,278844,90184,437460
fail10_test2,4,0.0.1.5,17252,61192,108,270672,77852,427076
fail10_test2,4,0.0.1.6,17152,54576,372,254384,78244,404728
fail10_test2,4,0.0.2.1,17208,66156,1008,320744,69140,474256
fail10_test2,4,0.0.2.2,17104,79640,360,279360,76184,452648
fail10_test2,4,0.0.2.3,17544,63180,108,306636,89476,476944
fail10_test2,4,0.0.2.4,17740,64164,72,310736,95688,488400
fail10_test2,4,0.0.2.5,17256,73284,360,311472,81004,483376
