config,hop,module,helloOverhead,DDOverhead,LSROverhead,LSUOverhead,LSACKOverhead,total
fail10_test1,1,0.0.1.1,17980,45276,180,910776,322724,1296936
fail10_test1,1,0.0.1.2,17020,64420,192,910500,298532,1290664
fail10_test1,1,0.0.1.3,17300,67192,324,901960,299492,1286268
fail10_test1,1,0.0.1.4,16768,83712,336,878128,283740,1262684
fail10_test1,1,0.0.1.5,17256,66896,252,921552,305436,1311392
fail10_test1,1,0.0.1.6,18180,37576,156,932000,331068,1318980
fail10_test1,1,0.0.2.1,17936,39232,72,1183248,353372,1593860
fail10_test1,1,0.0.2.2,17252,50724,144,1198500,338140,1604760
fail10_test1,1,0.0.2.3,17348,61708,252,1176980,333588,1589876
fail10_test1,1,0.0.2.4,17940,46496,144,1152940,351444,1568964
fail10_test1,1,0.0.2.5,17976,50744,108,1214600,359084,1642512
fail10_test1,1,0.0.2.6,17444,59704,144,1157344,342264,1576900
fail10_test1,1,0.0.3.1,17688,37872,36,1195156,342584,1593336
fail10_test1,1,0.0.3.2,17248,69248,240,1179856,328880,1595472
fail10_test1,1,0.0.3.3,17248,73828,288,1217124,326836,1635324
fail10_test1,1,0.0.3.4,17736,46332,192,1153928,343928,1562116
fail10_test1,1,0.0.3.5,16132,85816,192,1119980,295668,1517788
fail10_test1,1,0.0.3.6,16804,68920,108,1120168,315944,1521944
fail10_test1,1,0.0.4.1,18076,37320,72,1229248,356672,1641388
fail10_test1,1,0.0.4.2,18376,31116,144,1266924,376408,1692968
fail10_test1,1,0.0.4.3,17640,57128,180,1211372,343564,1629884
fail10_test1,1,0.0.4.4,17252,66168,204,1103540,317400,1504564
fail10_test1,1,0.0.4.5,16512,86676,252,1107980,306672,1518092
fail10_test1,1,0.0.4.6,17932,51552,144,1175688,356180,1601496
fail10_test1,1,0.0.5.1,17932,46564,120,1203148,359592,1627356
fail10_test1,1,0.0.5.2,18132,37472,84,1190836,362856,1609380
fail10_test1,1,0.0.5.3,17692,56672,144,1145636,349840,1569984
fail10_test1,1,0.0.5.4,17792,52832,144,1160476,353468,1584712
fail10_test1,1,0.0.5.5,18228,31148,36,1194900,371364,1615676
fail10_test1,1,0.0.5.6,17212,65000,108,1139316,338744,1560380
fail10_test1,1,0.0.6.1,17156,67572,144,864216,304284,1253372
fail10_test1,1,0.0.6.2,17060,70396,456,827852,292184,1207948
fail10_test1,1,0.0.6.3,16240,103008,636,817736,266612,1204232
fail10_test1,1,0.0.6.4,17020,77068,372,826300,296328,1217088
fail10_test1,1,0.0.6.5,17448,53640,252,847976,313452,1232768
fail10_test1,1,0.0.6.6,17648,45776,144,847304,326824,1237696
fail10_test1,1,0.0.7.1,17204,70944,108,1095696,327008,1510960
fail10_test1,1,0.0.7.2,18612,22444,72,1126764,369216,1537108
fail10_test1,1,0.0.7.3,16868,88756,180,1062260,308528,1476592
fail10_test1,1,0.0.7.4,16516,86072,156,989836,296540,1389120
fail10_test1,1,0.0.7.5,16820,71748,192,1077104,320632,1486496
fail10_test1,1,0.0.7.6,17456,63488,108,1120512,349608,1551172
fail10_test1,1,0.0.8.1,17592,56056,192,1154172,335568,1563580
fail10_test1,1,0.0.8.2,17836,48928,72,1109488,338580,1514904
fail10_test1,1,0.0.8.3,16416,90376,288,1100776,298952,1506808
fail10_test1,1,0.0.8.4,16616,86848,216,1079572,309004,1492256
fail10_test1,1,0.0.8.5,17932,47284,108,1162976,351952,1580252
fail10_test1,1,0.0.8.6,17248,68320,288,1177600,334632,1598088
fail10_test1,1,0.0.9.1,16808,75292,120,1098056,298848,1489124
fail10_test1,1,0.0.9.2,16952,74820,108,1082840,312740,1487460
fail10_test1,1,0.0.9.3,16572,84928,264,1152876,305208,1559848
fail10_test1,1,0.0.9.4,18028,40872,132,1247128,365808,1671968
fail10_test1,1,0.0.9.5,18080,35384,0,1234972,359028,1647464
fail10_test1,1,0.0.9.6,16720,79868,216,1111888,307380,1516072
fail10_test1,1,0.0.10.1,17544,54308,192,1191720,334132,1597896
fail10_test1,1,0.0.10.2,17792,49340,108,1154520,347004,1568764
fail10_test1,1,0.0.10.3,17152,69056,348,1175048,331908,1593512
fail10_test1,1,0.0.10.4,18368,24088,108,1239672,374684,1656920
fail10_test1,1,0.0.10.5,18324,31444,156,1265768,377124,1692816
fail10_test1,1,0.0.10.6,18128,31480,72,1237780,381328,1668788
fail10_test1,1,0.0.11.1,17248,74092,324,1093196,331176,1516036
fail10_test1,1,0.0.11.2,17648,46980,84,1064836,340656,1470204
fail10_test1,1,0.0.11.3,17544,62496,204,1053716,331884,1465844
fail10_test1,1,0.0.11.4,17880,54492,120,1080112,345020,1497624
fail10_test1,1,0.0.11.5,18080,40228,144,1114116,358080,1530648
fail10_test1,1,0.0.11.6,17692,59288,228,1111724,354684,1543616
fail10_test2,1,0.0.1.1,16924,71032,180,851392,289984,1229512
fail10_test2,1,0.0.1.2,17732,52268,144,886304,311408,1267856
fail10_test2,1,0.0.1.3,17460,60192,192,888724,314868,1281436
fail10_test2,1,0.0.1.4,17932,45260,120,871504,321520,1256336
fail10_test2,1,0.0.1.5,17252,64140,156,846816,296604,1224968
fail10_test2,1,0.0.1.6,17152,61124,360,863460,300180,1242276
fail10_test2,1,0.0.2.1,17208,68004,144,1137804,329924,1553084
fail10_test2,1,0.0.2.2,17104,77780,288,1124596,329704,1549472
fail10_test2,1,0.0.2.3,17544,61640,192,1173256,345860,1598492
fail10_test2,1,0.0.2.4,17740,58704,144,1158368,347456,1582412
fail10_test2,1,0.0.2.5,17256,72064,252,1151800,327396,1568768
fail10_test2,1,0.0.2.6,17932,43588,36,1177452,369108,1608116
fail10_test2,1,0.0.3.1,17544,61636,168,1206796,342536,1628680
fail10_test2,1,0.0.3.2,16656,89600,204,1170952,314024,1591436
fail10_test2,1,0.0.3.3,17244,76476,84,1121180,315684,1530668
fail10_test2,1,0.0.3.4,17492,64304,72,1165520,331144,1578532
fail10_test2,1,0.0.3.5,17684,56832,108,1214268,350628,1639520
fail10_test2,1,0.0.3.6,17492,60236,132,1205924,358088,1641872
fail10_test2,1,0.0.4.1,17440,61628,108,1172612,329480,1581268
fail10_test2,1,0.0.4.2,17500,64988,192,1191212,346088,1619980
fail10_test2,1,0.0.4.3,17688,55812,180,1172456,341912,1588048
fail10_test2,1,0.0.4.4,17928,50864,72,1189660,348444,1606968
fail10_test2,1,0.0.4.5,18080,25652,0,1274864,373356,1691952
fail10_test2,1,0.0.4.6,17636,61680,108,1185596,347216,1612236
fail10_test2,1,0.0.5.1,17928,48256,108,1177492,351320,1595104
fail10_test2,1,0.0.5.2,17400,56044,72,1135152,343784,1552452
fail10_test2,1,0.0.5.3,17244,72536,216,1108976,328548,1527520
fail10_test2,1,0.0.5.4,17448,59780,84,1133796,335820,1546928
fail10_test2,1,0.0.5.5,17692,40432,36,1198260,356648,1613068
fail10_test2,1,0.0.5.6,17892,41636,36,1210440,366596,1636600
fail10_test2,1,0.0.6.1,18172,31916,144,860256,329984,1240472
fail10_test2,1,0.0.6.2,16724,74240,348,822608,282764,1196684
fail10_test2,1,0.0.6.3,16884,86188,432,841372,293448,1238324
fail10_test2,1,0.0.6.4,16860,87284,252,826000,286412,1216808
fail10_test2,1,0.0.6.5,17404,60004,408,878744,312720,1269280
fail10_test2,1,0.0.6.6,16712,85060,192,797636,279348,1178948
fail10_test2,1,0.0.7.1,17056,61884,180,1130040,319408,1528568
fail10_test2,1,0.0.7.2,17688,53052,156,1122820,338252,1531968
fail10_test2,1,0.0.7.3,18416,31568,108,1145404,368852,1564348
fail10_test2,1,0.0.7.4,17488,61420,216,1149228,338908,1567260
fail10_test2,1,0.0.7.5,16760,88552,240,1054028,304688,1464268
fail10_test2,1,0.0.7.6,16568,101020,252,983020,295748,1396608
fail10_test2,1,0.0.8.1,17248,64716,300,1171444,325428,1579136
fail10_test2,1,0.0.8.2,17536,56768,192,1190740,338568,1603804
fail10_test2,1,0.0.8.3,18176,33072,192,1194980,367056,1613476
fail10_test2,1,0.0.8.4,17500,61040,288,1207248,348336,1634412
fail10_test2,1,0.0.8.5,17884,44240,108,1210476,361540,1634248
fail10_test2,1,0.0.8.6,17884,49712,156,1164484,357540,1589776
fail10_test2,1,0.0.9.1,17740,45432,228,1333820,365628,1762848
fail10_test2,1,0.0.9.2,17740,40560,264,1283112,367456,1709132
fail10_test2,1,0.0.9.3,18076,33400,108,1289980,375324,1716888
fail10_test2,1,0.0.9.4,17880,39316,108,1291400,370192,1718896
fail10_test2,1,0.0.9.5,17348,48056,84,1242352,351524,1659364
fail10_test2,1,0.0.9.6,17932,52900,72,1231084,365072,1667060
fail10_test2,1,0.0.10.1,18080,40236,168,1229020,365732,1653236
fail10_test2,1,0.0.10.2,17548,54092,216,1184824,347892,1604572
fail10_test2,1,0.0.10.3,17248,57028,108,1160440,340524,1575348
fail10_test2,1,0.0.10.4,17200,62300,180,1172700,343440,1595820
fail10_test2,1,0.0.10.5,17932,42152,276,1184740,359556,1604656
fail10_test2,1,0.0.10.6,18128,39392,180,1189224,365776,1612700
fail10_test2,1,0.0.11.1,17052,77036,288,1076412,315604,1486392
fail10_test2,1,0.0.11.2,17340,75056,300,1084336,329752,1506784
fail10_test2,1,0.0.11.3,17692,57692,216,1091496,347732,1514828
fail10_test2,1,0.0.11.4,16960,75156,336,1083360,323992,1499804
fail10_test2,1,0.0.11.5,16812,89776,288,1024496,311132,1442504
fail10_test2,1,0.0.11.6,16576,91832,420,1008848,304716,1422392
fail10_test3,1,0.0.1.1,18140,37632,240,912972,333736,1302720
fail10_test3,1,0.0.1.2,17208,67992,276,860020,303312,1248808
fail10_test3,1,0.0.1.3,17452,60564,372,852808,300716,1231912
fail10_test3,1,0.0.1.4,17208,69444,252,862732,293936,1243572
fail10_test3,1,0.0.1.5,16564,92284,336,862692,278548,1250424
fail10_test3,1,0.0.1.6,17688,54564,144,882724,316756,1271876
fail10_test3,1,0.0.2.1,18076,38084,72,1173316,358648,1588196
fail10_test3,1,0.0.2.2,17636,58844,144,1126124,342912,1545660
fail10_test3,1,0.0.2.3,17688,58820,0,1086288,337668,1500464
fail10_test3,1,0.0.2.4,16952,77500,228,1078984,317652,1491316
fail10_test3,1,0.0.2.5,17052,80564,216,1114660,322560,1535052
fail10_test3,1,0.0.2.6,17452,46772,252,1188956,351336,1604768
fail10_test3,1,0.0.3.1,17636,54380,216,1262568,351472,1686272
fail10_test3,1,0.0.3.2,17936,41400,84,1265268,366268,1690956
fail10_test3,1,0.0.3.3,17932,47864,216,1257156,364488,1687656
fail10_test3,1,0.0.3.4,17540,60676,288,1250124,345368,1673996
fail10_test3,1,0.0.3.5,17880,47508,132,1218812,353608,1637940
fail10_test3,1,0.0.3.6,17112,60396,276,1220756,346232,1644772
fail10_test3,1,0.0.4.1,16616,95028,312,1116748,300996,1529700
fail10_test3,1,0.0.4.2,16324,100336,252,1083336,293752,1494000
fail10_test3,1,0.0.4.3,17448,64652,168,1166760,340952,1589980
fail10_test3,1,0.0.4.4,17540,56800,252,1235912,347500,1658004
fail10_test3,1,0.0.4.5,18228,31664,108,1234452,368240,1652692
fail10_test3,1,0.0.4.6,17784,42144,72,1221908,361028,1642936
fail10_test3,1,0.0.5.1,17544,54340,108,1180444,343088,1595524
fail10_test3,1,0.0.5.2,17196,76616,180,1163772,334092,1591856
fail10_test3,1,0.0.5.3,17884,48424,36,1190980,358316,1615640
fail10_test3,1,0.0.5.4,17452,53400,72,1201236,344200,1616360
fail10_test3,1,0.0.5.5,18612,24220,120,1253976,384816,1681744
fail10_test3,1,0.0.5.6,18224,25452,156,1251748,378088,1673668
fail10_test3,1,0.0.6.1,17884,46832,228,868856,319124,1252924
fail10_test3,1,0.0.6.2,17116,65692,360,849200,297060,1229428
fail10_test3,1,0.0.6.3,17788,54624,180,869704,320828,1263124
fail10_test3,1,0.0.6.4,17544,60796,240,858152,307092,1243824
fail10_test3,1,0.0.6.5,18136,33828,180,916544,336064,1304752
fail10_test3,1,0.0.6.6,17928,43100,180,887080,328716,1277004
fail10_test3,1,0.0.7.1,18372,31604,120,1200480,371780,1622356
fail10_test3,1,0.0.7.2,17156,66080,144,1104852,325492,1513724
fail10_test3,1,0.0.7.3,17496,66640,120,1123604,341240,1549100
fail10_test3,1,0.0.7.4,18180,37624,108,1206936,372784,1635632
fail10_test3,1,0.0.7.5,17740,43012,108,1210512,358916,1630288
fail10_test3,1,0.0.7.6,17892,39212,72,1188828,367288,1613292
fail10_test3,1,0.0.8.1,17452,57764,216,1231112,343924,1650468
fail10_test3,1,0.0.8.2,17732,57308,336,1174640,343728,1593744
fail10_test3,1,0.0.8.3,17832,51384,144,1212144,358972,1640476
fail10_test3,1,0.0.8.4,17736,55924,156,1221120,355988,1650924
fail10_test3,1,0.0.8.5,17348,56548,72,1168252,341172,1583392
fail10_test3,1,0.0.8.6,17688,40968,156,1224784,362784,1646380
fail10_test3,1,0.0.9.1,16760,74992,228,1161140,313764,1566884
fail10_test3,1,0.0.9.2,16756,80292,192,1104876,310132,1512248
