config,hop,module,helloOverhead,DDOverhead,LSROverhead,LSUOverhead,LSACKOverhead,total
fail20_test1,2,0.0.1.1,15024,150428,1188,102956,30316,299912,
fail20_test1,2,0.0.1.2,14728,158588,780,95132,28288,297516,
fail20_test1,2,0.0.1.3,15028,140840,660,86076,27920,270524,
fail20_test1,2,0.0.1.4,15700,112928,504,91508,27576,248216,
fail20_test1,2,0.0.1.5,17008,79496,252,111504,27704,235964,
fail20_test1,2,0.0.1.6,16280,106612,396,112804,30392,266484,
fail20_test1,2,0.0.2.1,14768,149044,684,90028,27148,281672,
fail20_test1,2,0.0.2.2,16168,112700,144,74228,26952,230192,
fail20_test1,2,0.0.2.3,16568,93404,324,98276,23288,231860,
fail20_test1,2,0.0.2.4,15788,103184,1152,87508,21008,228640,
fail20_test1,2,0.0.2.5,16436,78868,300,101608,29564,226776,
fail20_test1,2,0.0.2.6,16568,101300,108,108872,32892,259740,
fail20_test1,2,0.0.3.1,14128,161292,1728,65660,13672,256480,
fail20_test1,2,0.0.3.2,16964,59084,1536,78904,8564,165052,
fail20_test1,2,0.0.3.3,19200,0,0,102928,29688,151816,
fail20_test1,2,0.0.3.4,16620,78908,288,81756,17068,194640,
fail20_test1,2,0.0.3.5,15056,122308,1632,87556,15548,242100,
fail20_test1,2,0.0.3.6,15444,126428,468,69656,18924,230920,
fail20_test1,2,0.0.4.1,15544,109280,2076,88892,16908,232700,
fail20_test1,2,0.0.4.2,14820,123336,300,45308,11956,195720,
fail20_test1,2,0.0.4.3,16372,97272,960,88980,20176,223760,
fail20_test1,2,0.0.4.4,15880,118396,504,80700,29568,245048,
fail20_test1,2,0.0.4.5,15060,134604,864,81420,26492,258440,
fail20_test1,2,0.0.4.6,14428,145892,180,70516,16344,247360,
fail20_test1,2,0.0.5.1,15492,124512,828,97104,28888,266824,
fail20_test1,2,0.0.5.2,13872,163628,1104,67412,20028,266044,
fail20_test1,2,0.0.5.3,16136,108944,432,92676,24372,242560,
fail20_test1,2,0.0.5.4,15008,145668,540,86352,28588,276156,
fail20_test1,2,0.0.5.5,15256,140072,540,97772,29280,282920,
fail20_test1,2,0.0.5.6,15888,113172,144,103460,33852,266516,
fail20_test1,2,0.0.6.1,15540,111572,540,102228,25796,255676,
