config,hop,module,helloOverhead,DDOverhead,LSROverhead,LSUOverhead,LSACKOverhead,total
fail10_test1,3,0.0.1.1,17980,43448,288,139312,41020,242048
fail10_test1,3,0.0.1.2,17020,59124,1152,138520,28632,244448
fail10_test1,3,0.0.1.3,17300,66524,432,115904,32404,232564
fail10_test1,3,0.0.1.4,16768,83244,1332,133136,25324,259804
fail10_test1,3,0.0.1.5,17256,63088,648,116524,23052,220568
fail10_test1,3,0.0.1.6,18180,39316,36,132868,38048,228448
fail10_test1,3,0.0.2.1,17936,40532,36,142904,41168,242576
fail10_test1,3,0.0.2.2,17252,45096,588,127444,27844,218224
fail10_test1,3,0.0.2.3,17348,56332,576,132588,37372,244216
fail10_test1,3,0.0.2.4,17940,44636,144,125436,45448,233604
fail10_test1,3,0.0.2.5,17976,49084,180,114988,34344,216572
fail10_test1,3,0.0.2.6,17444,54488,1368,146188,30408,249896
fail10_test1,3,0.0.3.1,17688,39172,0,137036,38908,232804
fail10_test1,3,0.0.3.2,17248,67728,144,123524,34800,243444
fail10_test1,3,0.0.3.3,17248,61364,1260,128812,26072,234756
fail10_test1,3,0.0.3.4,17736,56208,108,119404,40168,233624
fail10_test1,3,0.0.3.5,16132,80412,2400,123020,18860,240824
fail10_test1,3,0.0.3.6,16804,59840,108,78012,14560,169324
fail10_test1,3,0.0.4.1,18076,39040,0,147460,45752,250328
fail10_test1,3,0.0.4.2,18376,33076,36,152740,44664,248892
fail10_test1,3,0.0.4.3,17640,43720,360,115036,26152,202908
fail10_test1,3,0.0.4.4,17252,61464,2556,128740,16856,226868
fail10_test1,3,0.0.4.5,16512,73916,108,80348,22616,193500
fail10_test1,3,0.0.4.6,17932,53132,36,110368,38308,219776
fail10_test1,3,0.0.5.1,17932,52932,36,157756,45756,274412
fail10_test1,3,0.0.5.2,18132,43472,36,154472,47060,263172
fail10_test1,3,0.0.5.3,17692,54252,72,118832,39660,230508
fail10_test1,3,0.0.5.4,17792,47544,1800,120312,13868,201316
fail10_test1,3,0.0.5.5,18228,28968,36,107860,25716,180808
fail10_test1,3,0.0.5.6,17212,66920,180,131692,39244,255248
fail10_test1,3,0.0.6.1,17156,69752,72,143772,40696,271448
fail10_test1,3,0.0.6.2,17060,73856,324,152152,41240,284632
fail10_test1,3,0.0.6.3,16240,86808,900,116760,29804,250512
fail10_test1,3,0.0.6.4,17020,68320,1476,117788,24532,229136
fail10_test1,3,0.0.6.5,17448,44416,792,133844,36564,233064
fail10_test1,3,0.0.6.6,17648,39568,696,150340,35296,243548
fail10_test1,3,0.0.7.1,17204,73864,0,159416,49684,300168
fail10_test1,3,0.0.7.2,18612,27132,36,164264,55960,266004
fail10_test1,3,0.0.7.3,16868,72060,1476,124116,19824,234344
fail10_test1,3,0.0.7.4,16516,84872,108,82104,20796,204396
fail10_test1,3,0.0.7.5,16820,65968,108,121924,38124,242944
fail10_test1,3,0.0.7.6,17456,61788,36,145600,37632,262512
fail10_test1,3,0.0.8.1,17592,57916,144,164676,53060,293388
fail10_test1,3,0.0.8.2,17836,54948,108,144636,49676,267204
fail10_test1,3,0.0.8.3,16416,78600,1452,107184,11300,214952
fail10_test1,3,0.0.8.4,16616,80768,216,98748,20220,216568
fail10_test1,3,0.0.8.5,17932,47224,72,130892,46216,242336
fail10_test1,3,0.0.8.6,17248,70760,252,157084,46352,291696
fail10_test1,3,0.0.9.1,16808,74424,504,153784,40148,285668
fail10_test1,3,0.0.9.2,16952,74460,180,131952,38208,261752
fail10_test1,3,0.0.9.3,16572,66784,1980,114272,21956,221564
fail10_test1,3,0.0.9.4,18028,33432,0,123392,32476,207328
